long_from,long_to,lat_from,lat_to
137.031998,140.779,-3.73956,-3.45
95.42063713,96.95030212,5.522872024,5.226679802
120.24501799999999,121.660278,-3.082997,-2.203333
140.417999,138.6755,-8.52029,-3.6822
139.482006,138.957001,-4.8557,-4.10251
104.11900329999999,102.135,1.121029973,-1.1278
98.88714499999999,100.280998,1.5571270000000001,-0.786917
106.89099879999999,106.65599820000001,-6.2666101460000005,-6.12556982
102.33899699999999,100.280998,-3.8637,-0.786917
108.38799999999999,111.47299960000001,3.9087099999999997,0.063619003
131.287,128.3825,-0.894,0.9194
121.4141,120.32399699999999,1.1027,-2.55803
97.704327,99.43049599999999,1.16628,1.4001
104.69814699999999,103.643997,-2.897653,-1.63802
105.175556,103.8799973,-5.240556,-3.286070108
101.087997,103.643997,-2.54186,-1.63802
110.05726399999999,110.375,-7.905338,-6.97273
119.908647,121.660278,-0.9164620000000001,-2.203333
136.1080017,132.2669983,-1.190019965,-2.9201900960000002
138.6755,139.482006,-3.6822,-4.8557
140.417999,140.516006,-8.52029,-2.57695
136.1080017,133.6959991,-1.190019965,-3.6445200439999996
101.433492,100.280998,1.609114,-0.786917
98.88714499999999,100.351997,1.5571270000000001,-0.8749889999999999
105.175556,107.57599640000001,-5.240556,-6.900629997
99.43049599999999,100.280998,1.4001,-0.786917
99.43049599999999,96.253538,1.4001,4.040630999999999
106.89099879999999,110.47838,-6.2666101460000005,-5.80091
119.244003,120.47699740000002,-9.40972,-8.597009659
117.431999,114.970297,2.1555,1.7044860000000002
107.57599640000001,110.47838,-6.900629997,-5.80091
114.5306,112.9369965,0.8106,0.835578024
117.3736111,117.66666670000001,2.835833333,4.133333333
110.75049399999999,110.47838,-7.513564,-5.80091
132.2669983,128.0890045,-2.9201900960000002,-3.710259914
105.175556,107.57599640000001,-5.240556,-6.900629997
102.33899699999999,106.139,-3.8637,-2.1622
119.908647,119.8219986,-0.9164620000000001,-3.044739962
125.52799990000001,128.0890045,3.683209896,-3.710259914
134.048996,133.6959991,-0.891833,-3.6445200439999996
131.287,129.9054,-0.894,-4.5214
118.6869965,119.244003,-8.539649962999999,-9.40972
123.6709976,122.23699950000001,-10.17160034,-8.640649796
136.1080017,137.031998,-1.190019965,-3.73956
115.16699979999999,110.47838,-8.748169899,-5.80091
100.351997,101.433492,-0.8749889999999999,1.609114
119.889,121.6610031,-8.48666,-8.849289894
122.23699950000001,121.6610031,-8.640649796,-8.849289894
136.1080017,137.031998,-1.190019965,-3.73956
104.5319977,103.643997,0.9226830009999999,-1.63802
101.087997,102.33899699999999,-2.54186,-3.8637
106.89099879999999,110.47838,-6.2666101460000005,-5.80091
103.643997,102.135,-1.63802,-1.1278
101.4449997,98.99189799999999,0.460786015,2.25973
138.957001,136.886993,-4.10251,-4.5282800000000005
132.759444,133.6959991,-5.760278,-3.6445200439999996
112.714996,110.431999,-7.92656,-7.7881800000000005
116.276675,112.78700259999998,-8.757322,-7.379829883999999
117.56944399999999,117.431999,3.326667,2.1555
98.885307,96.851943,3.6417699999999997,4.7211300000000005
135.496002,136.1080017,-3.36818,-1.190019965
108.38799999999999,104.11900329999999,3.9087099999999997,1.121029973
120.24501799999999,119.8219986,-3.082997,-3.044739962
114.970297,117.431999,1.7044860000000002,2.1555
96.851943,101.4449997,4.7211300000000005,0.460786015
115.435997,114.76299999999999,-2.216559887,-3.44236
135.496002,138.957001,-3.36818,-4.10251
104.69814699999999,104.5319977,-2.897653,0.9226830009999999
123.6709976,121.6610031,-10.17160034,-8.849289894
116.276675,118.6869965,-8.757322,-8.539649962999999
117.3736111,117.431999,2.835833333,2.1555
119.8219986,121.660278,-3.044739962,-2.203333
106.139,103.8799973,-2.1622,-3.286070108
104.69814699999999,105.175556,-2.897653,-5.240556
139.482006,140.779,-4.8557,-3.45
109.962997,112.536521,-1.8166400000000003,-3.376062
106.65599820000001,105.175556,-6.12556982,-5.240556
123.6709976,124.90328500000001,-10.17160034,-9.074841000000001
122.84999850000001,121.4141,0.637118995,1.1027
119.5540009,120.24501799999999,-5.061629772,-3.082997
117.41200259999998,119.889,-8.489040375,-8.48666
115.16699979999999,110.431999,-8.748169899,-7.7881800000000005
136.1080017,135.496002,-1.190019965,-3.36818
108.38799999999999,109.4039993,3.9087099999999997,-0.15071099999999998
129.9054,133.6959991,-4.5214,-3.6445200439999996
98.885307,98.99189799999999,3.6417699999999997,2.25973
134.048996,136.886993,-0.891833,-4.5282800000000005
117.474998,116.8939972,0.119691,-1.268270016
117.41200259999998,116.276675,-8.489040375,-8.757322
106.89099879999999,106.65599820000001,-6.2666101460000005,-6.12556982
135.496002,137.031998,-3.36818,-3.73956
120.302002,120.47699740000002,-9.66922,-8.597009659
105.175556,107.754997,-5.240556,-2.74572
101.4449997,102.135,0.460786015,-1.1278
106.89099879999999,109.0339966,-6.2666101460000005,-7.645060062000001
103.8799973,102.33899699999999,-3.286070108,-3.8637
101.433492,104.11900329999999,1.609114,1.121029973
127.380997,122.84999850000001,0.831414,0.637118995
109.0339966,106.65599820000001,-7.645060062000001,-6.12556982
108.38799999999999,104.11900329999999,3.9087099999999997,1.121029973
117.3736111,117.56944399999999,2.835833333,3.326667
140.6277,140.779,-4.9071,-3.45
111.47299960000001,111.672997,0.063619003,-2.7052
114.76299999999999,116.165001,-3.44236,-3.29472
119.889,120.302002,-8.48666,-9.66922
106.65599820000001,110.05726399999999,-6.12556982,-7.905338
117.66666670000001,114.970297,4.133333333,1.7044860000000002
116.276675,112.714996,-8.757322,-7.92656
123.634,119.5540009,-5.293996,-5.061629772
