long_from,long_to,lat_from,lat_to
119.03333300000001,120.76667020000001,-2.583333,-2.0
136.3383,136.0832977,-3.9497,-3.9834020139999997
128.0890045,129.484,-3.710259914,-2.8114
128.3249969,127.945101,2.04598999,0.46832799999999997
137.4252,137.11700000000002,-3.8165,-3.7343
96.326766,96.851943,2.410916,4.7211300000000005
137.6217,137.92,-3.0447,-2.7467
139.047,139.0339,-4.26,-4.2197
134.1239929,134.175,-1.628530025,-1.4967709999999999
99.8277,100.1790009,2.3154,2.5129001140000002
109.0179977,110.431999,-7.7205700870000005,-7.7881800000000005
137.76816000000002,137.6217,-2.87793,-3.0447
135.5588,136.2779999,-4.0644,-4.044229983999999
138.7489,139.0200043,-2.3307,-1.935289979
104.5319977,105.75444399999999,0.9226830009999999,2.9641669999999998
115.7065,115.8418,3.7978,3.5994
138.4343,138.0327,-2.182,-2.3007
97.288299,98.64420319,3.1690400000000003,3.6830599310000003
127.380997,127.7860031,0.831414,1.83833003
